	name	fold	tstat	pvalue	mzmed	mzmin	mzmax	rtmed	rtmin	rtmax	npeaks	Control	HPA	QT_121004_21	QT_121004_23	QT_121004_25	QT_121004_27	QT_121004_31	QT_121004_33	QT_121004_35	QT_121004_37	QT_121004_41	QT_121004_43	QT_121004_26	QT_121004_34	QT_121004_42	QT_121004_48	QT_121004_56	QT_121004_64	QT_121004_66		
1434	M377T271	Inf	3.187689428	0.018891383	377.1745959	377.1732872	377.1749147	270.94	270.9	271.19	4	0	4	0	0	0	0	0	0	0	0	0	0	4284.368495	1511.369659	1025.341385	2212.125252	0	718.0918391	1814.227173		
1161	M378T96	Inf	3.872932197	0.008237842	378.1513064	378.1493372	378.1518716	95.985	95.68	96.56	4	0	4	0	0	0	0	0	0	0	0	0	0	1670.442124	2346.948158	850.4529807	897.9111276	0	1338.859095	659.0291157		
1913	M379T1045	Inf	2.361812425	0.056144911	378.7290979	378.7286482	378.7296951	1045.435	1045.36	1046.1	4	0	4	0	0	0	0	0	0	0	0	0	0	9835.052011	11963.58753	3520.446702	4069.643749	0	176.3292218	563.6080182		
1533	M388T894	Inf	3.000878618	0.023980991	388.2538886	388.2529979	388.2544543	893.64	893.28	893.64	4	0	4	0	0	0	0	0	0	0	0	0	0	2722.015697	11826.05293	6214.007268	4864.79738	1316.078156	746.3883409	2622.41429		
1274	M391T362	Inf	3.604254163	0.011308617	391.1904665	391.1895115	391.1908761	362.355	362.04	362.64	4	0	4	0	0	0	0	0	0	0	0	0	0	2476.37262	1514.252734	710.7345395	1324.324815	0	454.5076832	1215.736053		
1474	M404T1048_1	Inf	3.111441414	0.020810576	403.7816512	403.7811328	403.781932	1048.08	1048	1048.08	4	0	4	0	0	0	0	0	0	0	0	0	0	3742.903278	7011.80159	4257.874719	2919.375414	314.8953647	920.4151737	690.9848636		
1515	M404T1048_2	Inf	3.026872529	0.02319104	404.2829881	404.2826165	404.2834283	1047.9	1047.7	1048.08	4	0	4	0	0	0	0	0	0	0	0	0	0	2205.244124	4095.41841	1697.025655	2006.229441	250.995501	0	898.9076095		
1903	M406T106	Inf	2.36932867	0.055571601	406.1458782	406.1440309	406.1471812	106.1	105.3	106.82	5	0	5	0	0	0	0	0	0	0	0	0	0	10615.37539	13042.27616	1696.497532	3260.371084	0	418.6346237	3172.143664		
1498	M409T946	Inf	3.06871791	0.021978112	409.226738	409.2242985	409.2268416	945.78	945.78	946.44	5	0	5	0	0	0	0	0	0	0	0	0	0	4257.711215	7672.64937	3012.400609	2210.759187	402.2253855	644.2860052	2019.289661		
255	M419T577	Inf	13.45457917	1.04E-05	419.203962	419.2029394	419.2044108	577.01	576.78	577.8	4	0	4	0	0	0	0	0	0	0	0	0	0	1165.763111	1806.749426	1326.66332	1202.338544	1382.218838	974.0935197	1304.657478		
